Vrsta izbora;Naziv županije;Naziv grada/općine;Ime i prezime kandidata;Razlikovni podatak;Naziv predlagatelja
OPĆINSKI NAČELNIK;POŽEŠKO-SLAVONSKA ŽUPANIJA;VELIKA;ROBERT HOFMAN;;ROBERT HOFMAN - KANDIDAT GRUPE BIRAČA
OPĆINSKI NAČELNIK;POŽEŠKO-SLAVONSKA ŽUPANIJA;VELIKA;DARIO IVKOVIĆ;;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ
OPĆINSKI NAČELNIK;POŽEŠKO-SLAVONSKA ŽUPANIJA;VELIKA;DRAŽENKO KLJAJIĆ;;DOMOVINSKI POKRET - DP
OPĆINSKI NAČELNIK;BRODSKO-POSAVSKA ŽUPANIJA;BEBRINA;IVAN BRZIĆ;;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ
OPĆINSKI NAČELNIK;BRODSKO-POSAVSKA ŽUPANIJA;BEBRINA;IGOR DIKANOVIĆ;;IGOR DIKANOVIĆ - KANDIDAT GRUPE BIRAČA
OPĆINSKI NAČELNIK;BRODSKO-POSAVSKA ŽUPANIJA;BEBRINA;KREŠIMIR FILAJDIĆ;;HRVATSKA SELJAČKA STRANKA - HSS
OPĆINSKI NAČELNIK;BRODSKO-POSAVSKA ŽUPANIJA;BEBRINA;PETRA ŠEBEĐAK;;HRVATSKA SOCIJALNO - LIBERALNA STRANKA - HSLS
OPĆINSKI NAČELNIK;BRODSKO-POSAVSKA ŽUPANIJA;BRODSKI STUPNIK;PETAR BAŠIĆ;;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ
OPĆINSKI NAČELNIK;BRODSKO-POSAVSKA ŽUPANIJA;BRODSKI STUPNIK;GORAN JELINIĆ;;GORAN JELINIĆ - KANDIDAT GRUPE BIRAČA
OPĆINSKI NAČELNIK;BRODSKO-POSAVSKA ŽUPANIJA;BRODSKI STUPNIK;ALEN KLJUČEVIĆ;;DUSPARA MIRKO - NEZAVISNA LISTA - DUSPARA MIRKO - NL
OPĆINSKI NAČELNIK;BRODSKO-POSAVSKA ŽUPANIJA;CERNIK;VITOMIR ŽAKIĆ;;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ
OPĆINSKI NAČELNIK;BRODSKO-POSAVSKA ŽUPANIJA;DAVOR;ĐURO ANĐELKOVIĆ;;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ
OPĆINSKI NAČELNIK;BRODSKO-POSAVSKA ŽUPANIJA;DAVOR;MARTINA RIZVIĆ;;MARTINA RIZVIĆ - KANDIDATKINJA GRUPE BIRAČA
OPĆINSKI NAČELNIK;BRODSKO-POSAVSKA ŽUPANIJA;DONJI ANDRIJEVCI;VEDRAN GAVRAN;;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ
OPĆINSKI NAČELNIK;BRODSKO-POSAVSKA ŽUPANIJA;GARČIN;MATO GRGIĆ;;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ
OPĆINSKI NAČELNIK;BRODSKO-POSAVSKA ŽUPANIJA;GARČIN;TOMISLAV VIDAKOVIĆ;;DOMOVINSKI POKRET - DP
OPĆINSKI NAČELNIK;BRODSKO-POSAVSKA ŽUPANIJA;GARČIN;KREŠIMIR VOJTKUF;;KREŠIMIR VOJTKUF - KANDIDAT GRUPE BIRAČA
OPĆINSKI NAČELNIK;BRODSKO-POSAVSKA ŽUPANIJA;GORNJI BOGIĆEVCI;PAVO KLARIĆ;;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ
OPĆINSKI NAČELNIK;BRODSKO-POSAVSKA ŽUPANIJA;GORNJI BOGIĆEVCI;STJEPAN KRSTANAC;;HRVATSKA SELJAČKA STRANKA - HSS
OPĆINSKI NAČELNIK;BRODSKO-POSAVSKA ŽUPANIJA;GUNDINCI;ILIJA MARKOTIĆ;;HSS, SDP
OPĆINSKI NAČELNIK;BRODSKO-POSAVSKA ŽUPANIJA;GUNDINCI;JOSIP UŽAREVIĆ;;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ
OPĆINSKI NAČELNIK;BRODSKO-POSAVSKA ŽUPANIJA;KLAKAR;IVAN BABOSELAC;;IVAN BABOSELAC - KANDIDAT GRUPE BIRAČA
OPĆINSKI NAČELNIK;BRODSKO-POSAVSKA ŽUPANIJA;KLAKAR;PAVO PEJIĆ;;DUSPARA MIRKO - NEZAVISNA LISTA - DUSPARA MIRKO - NL
OPĆINSKI NAČELNIK;BRODSKO-POSAVSKA ŽUPANIJA;KLAKAR;TOMISLAV PENDIĆ;;HDZ, HSP
GRADONAČELNIK;BRODSKO-POSAVSKA ŽUPANIJA;NOVA GRADIŠKA;VINKO GRGIĆ;;VINKO GRGIĆ - KANDIDAT GRUPE BIRAČA
GRADONAČELNIK;BRODSKO-POSAVSKA ŽUPANIJA;NOVA GRADIŠKA;JOSIP KUŠ;;DOMOVINSKI POKRET - DP
GRADONAČELNIK;BRODSKO-POSAVSKA ŽUPANIJA;NOVA GRADIŠKA;KRUNOSLAV PECARIĆ;;HSLS, MOST
GRADONAČELNIK;BRODSKO-POSAVSKA ŽUPANIJA;NOVA GRADIŠKA;MIRELA RELKOVIĆ;;MIRELA RELKOVIĆ - KANDIDATKINJA GRUPE BIRAČA
GRADONAČELNIK;BRODSKO-POSAVSKA ŽUPANIJA;NOVA GRADIŠKA;DAVORIN SLIŠURIĆ;;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ
GRADONAČELNIK;BRODSKO-POSAVSKA ŽUPANIJA;NOVA GRADIŠKA;IVANA TRUPINA;;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP
GRADONAČELNIK;BRODSKO-POSAVSKA ŽUPANIJA;NOVA GRADIŠKA;TOMISLAV VLAOVIĆ;;HSS, SU
OPĆINSKI NAČELNIK;BRODSKO-POSAVSKA ŽUPANIJA;NOVA KAPELA;BRANKO CINDRIĆ;;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ
OPĆINSKI NAČELNIK;BRODSKO-POSAVSKA ŽUPANIJA;NOVA KAPELA;IVAN ŠMIT;;IVAN ŠMIT - KANDIDAT GRUPE BIRAČA
OPĆINSKI NAČELNIK;BRODSKO-POSAVSKA ŽUPANIJA;NOVA KAPELA;HRVOJE WDOVJAK;;DOMOVINSKI POKRET - DP
OPĆINSKI NAČELNIK;BRODSKO-POSAVSKA ŽUPANIJA;OKUČANI;BORISLAV OJDANIĆ;;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP
OPĆINSKI NAČELNIK;BRODSKO-POSAVSKA ŽUPANIJA;OKUČANI;ACA VIDAKOVIĆ;;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ
OPĆINSKI NAČELNIK;BRODSKO-POSAVSKA ŽUPANIJA;OPRISAVCI;IGOR ELMAUER;;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ
OPĆINSKI NAČELNIK;BRODSKO-POSAVSKA ŽUPANIJA;OPRISAVCI;FRANJO KLENUK;;HRVATSKA SOCIJALNO - LIBERALNA STRANKA - HSLS
OPĆINSKI NAČELNIK;BRODSKO-POSAVSKA ŽUPANIJA;OPRISAVCI;PEJO KOVAČEVIĆ;;PEJO KOVAČEVIĆ - KANDIDAT GRUPE BIRAČA
OPĆINSKI NAČELNIK;BRODSKO-POSAVSKA ŽUPANIJA;OPRISAVCI;MIJO UREMOVIĆ;;HRVATSKA SELJAČKA STRANKA - HSS
OPĆINSKI NAČELNIK;BRODSKO-POSAVSKA ŽUPANIJA;ORIOVAC;JELENA IVEZIĆ;;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ
OPĆINSKI NAČELNIK;BRODSKO-POSAVSKA ŽUPANIJA;ORIOVAC;MATIJA JOŠIĆ;;MOST, DP
OPĆINSKI NAČELNIK;BRODSKO-POSAVSKA ŽUPANIJA;ORIOVAC;ZORAN NOŽINIĆ;;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP
OPĆINSKI NAČELNIK;BRODSKO-POSAVSKA ŽUPANIJA;ORIOVAC;ANTUN PAVETIĆ;;ANTUN PAVETIĆ - KANDIDAT GRUPE BIRAČA
OPĆINSKI NAČELNIK;BRODSKO-POSAVSKA ŽUPANIJA;PODCRKAVLJE;ANA MAJETIĆ;;DUSPARA MIRKO - NEZAVISNA LISTA - DUSPARA MIRKO - NL
OPĆINSKI NAČELNIK;BRODSKO-POSAVSKA ŽUPANIJA;PODCRKAVLJE;TOMISLAV TRTANJ;;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ
OPĆINSKI NAČELNIK;BRODSKO-POSAVSKA ŽUPANIJA;REŠETARI;ZLATKO AGA;;HRVATSKA SOCIJALNO - LIBERALNA STRANKA - HSLS
OPĆINSKI NAČELNIK;BRODSKO-POSAVSKA ŽUPANIJA;REŠETARI;MIROSLAV JELČIĆ;;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ
OPĆINSKI NAČELNIK;BRODSKO-POSAVSKA ŽUPANIJA;REŠETARI;OZREN KRALJIĆ;;HSS, SDP
OPĆINSKI NAČELNIK;BRODSKO-POSAVSKA ŽUPANIJA;SIBINJ;MARKO HORVATOVIĆ;;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ
OPĆINSKI NAČELNIK;BRODSKO-POSAVSKA ŽUPANIJA;SIBINJ;JOSIP PAVIĆ;;HRVATSKA KONZERVATIVNA STRANKA - HKS
GRADONAČELNIK;BRODSKO-POSAVSKA ŽUPANIJA;SLAVONSKI BROD;MIRKO DUSPARA;;DUSPARA MIRKO - NEZAVISNA LISTA - DUSPARA MIRKO - NL
GRADONAČELNIK;BRODSKO-POSAVSKA ŽUPANIJA;SLAVONSKI BROD;DRAGAN JELIĆ;;HDZ, HSP
GRADONAČELNIK;BRODSKO-POSAVSKA ŽUPANIJA;SLAVONSKI BROD;MATO KLARIĆ;;SNAGA SLAVONIJE I BARANJE - Snaga SiB
GRADONAČELNIK;BRODSKO-POSAVSKA ŽUPANIJA;SLAVONSKI BROD;MARTINA KRALJEVIĆ;;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP
GRADONAČELNIK;BRODSKO-POSAVSKA ŽUPANIJA;SLAVONSKI BROD;SLAVICA LEMAIĆ;;SLAVICA LEMAIĆ - KANDIDATKINJA GRUPE BIRAČA
GRADONAČELNIK;BRODSKO-POSAVSKA ŽUPANIJA;SLAVONSKI BROD;MATEJ PUDIĆ;;DOMOVINSKI POKRET - DP
OPĆINSKI NAČELNIK;BRODSKO-POSAVSKA ŽUPANIJA;SLAVONSKI ŠAMAC;TATJANA JAKŠIĆ;;HRVATSKA SOCIJALNO - LIBERALNA STRANKA - HSLS
OPĆINSKI NAČELNIK;BRODSKO-POSAVSKA ŽUPANIJA;SLAVONSKI ŠAMAC;BRANISLAV MILINOVIĆ;;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ
OPĆINSKI NAČELNIK;BRODSKO-POSAVSKA ŽUPANIJA;STARA GRADIŠKA;DAVOR ANDROČEC;;DOMOVINSKI POKRET - DP
OPĆINSKI NAČELNIK;BRODSKO-POSAVSKA ŽUPANIJA;STARA GRADIŠKA;VELIMIR PAUŠIĆ;;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ
OPĆINSKI NAČELNIK;BRODSKO-POSAVSKA ŽUPANIJA;STARA GRADIŠKA;PATRIK SAMARDŽIĆ;;PATRIK SAMARDŽIĆ - KANDIDAT GRUPE BIRAČA
OPĆINSKI NAČELNIK;BRODSKO-POSAVSKA ŽUPANIJA;STARO PETROVO SELO;BRANKICA DENIS;;HSP, HSLS
OPĆINSKI NAČELNIK;BRODSKO-POSAVSKA ŽUPANIJA;STARO PETROVO SELO;NIKOLA DENIS;;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ
OPĆINSKI NAČELNIK;BRODSKO-POSAVSKA ŽUPANIJA;STARO PETROVO SELO;DRAGAN RADIĆ;;HRVATSKA SELJAČKA STRANKA - HSS
OPĆINSKI NAČELNIK;BRODSKO-POSAVSKA ŽUPANIJA;VELIKA KOPANICA;ROBERT MATASOVIĆ;;DP, HSS
OPĆINSKI NAČELNIK;BRODSKO-POSAVSKA ŽUPANIJA;VELIKA KOPANICA;IVAN METEŠ;;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ
OPĆINSKI NAČELNIK;BRODSKO-POSAVSKA ŽUPANIJA;VRBJE;IGOR JURIŠIĆ;;IGOR JURIŠIĆ - KANDIDAT GRUPE BIRAČA
OPĆINSKI NAČELNIK;BRODSKO-POSAVSKA ŽUPANIJA;VRPOLJE;ANKICA ZMAIĆ;;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ
OPĆINSKI NAČELNIK;BRODSKO-POSAVSKA ŽUPANIJA;BUKOVLJE;IGOR ĐAKOVIĆ;;HDZ, HSP
OPĆINSKI NAČELNIK;BRODSKO-POSAVSKA ŽUPANIJA;BUKOVLJE;MARIO MARIĆ;;DUSPARA MIRKO - NEZAVISNA LISTA - DUSPARA MIRKO - NL
OPĆINSKI NAČELNIK;BRODSKO-POSAVSKA ŽUPANIJA;BUKOVLJE;DAVOR PETRIK;;SDP, HNS, HSS
OPĆINSKI NAČELNIK;BRODSKO-POSAVSKA ŽUPANIJA;DRAGALIĆ;ZVONIMIR KARLIK;;ZVONIMIR KARLIK - KANDIDAT GRUPE BIRAČA
OPĆINSKI NAČELNIK;BRODSKO-POSAVSKA ŽUPANIJA;DRAGALIĆ;IGOR ŠUPICA;;IGOR ŠUPICA - KANDIDAT GRUPE BIRAČA
OPĆINSKI NAČELNIK;BRODSKO-POSAVSKA ŽUPANIJA;GORNJA VRBA;MATO RAŠIĆ;;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ
OPĆINSKI NAČELNIK;BRODSKO-POSAVSKA ŽUPANIJA;GORNJA VRBA;IVAN VULETA;;DUSPARA MIRKO - NEZAVISNA LISTA - DUSPARA MIRKO - NL
OPĆINSKI NAČELNIK;BRODSKO-POSAVSKA ŽUPANIJA;SIKIREVCI;PETAR NAKIĆ;;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ
OPĆINSKI NAČELNIK;BRODSKO-POSAVSKA ŽUPANIJA;SIKIREVCI;JOSIP NIKOLIĆ;;JOSIP NIKOLIĆ - KANDIDAT GRUPE BIRAČA
GRADONAČELNIK;ZADARSKA ŽUPANIJA;BENKOVAC;TOMISLAV BULIĆ;;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ
GRADONAČELNIK;ZADARSKA ŽUPANIJA;BENKOVAC;BORNA NIMAC;;BORNA NIMAC - KANDIDAT GRUPE BIRAČA
GRADONAČELNIK;ZADARSKA ŽUPANIJA;BENKOVAC;GORAN NIMAC;;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP
GRADONAČELNIK;ZADARSKA ŽUPANIJA;BENKOVAC;FRANE TOKIĆ;;DP, MOST
OPĆINSKI NAČELNIK;ZADARSKA ŽUPANIJA;BIBINJE;ŠIME SEKULA;;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ
OPĆINSKI NAČELNIK;ZADARSKA ŽUPANIJA;BIBINJE;MARIN SIKIRIĆ;;MARIN SIKIRIĆ - KANDIDAT GRUPE BIRAČA
GRADONAČELNIK;ZADARSKA ŽUPANIJA;BIOGRAD NA MORU;ANTE FUZUL;;ANTE FUZUL - KANDIDAT GRUPE BIRAČA
GRADONAČELNIK;ZADARSKA ŽUPANIJA;BIOGRAD NA MORU;IVAN KNEZ;;HDZ, SU, REFORMISTI
GRADONAČELNIK;ZADARSKA ŽUPANIJA;BIOGRAD NA MORU;DAVOR TOLIĆ;;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP
GRADONAČELNIK;ZADARSKA ŽUPANIJA;BIOGRAD NA MORU;LEO ZORICA;;LEO ZORICA - KANDIDAT GRUPE BIRAČA
OPĆINSKI NAČELNIK;ZADARSKA ŽUPANIJA;GRAČAC;MOMIR JAPUNDŽIĆ;;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP
OPĆINSKI NAČELNIK;ZADARSKA ŽUPANIJA;GRAČAC;ROBERT JUKO;;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ
OPĆINSKI NAČELNIK;ZADARSKA ŽUPANIJA;GRAČAC;SLAVICA MILIČIĆ;;SLAVICA MILIČIĆ - KANDIDATKINJA GRUPE BIRAČA
OPĆINSKI NAČELNIK;ZADARSKA ŽUPANIJA;GRAČAC;RAJKO OBRADOVIĆ;;SDSS, DSS
OPĆINSKI NAČELNIK;ZADARSKA ŽUPANIJA;GRAČAC;SVJETLANA VALJIN;;DOMOVINSKI POKRET - DP
OPĆINSKI NAČELNIK;ZADARSKA ŽUPANIJA;JASENICE;MARTIN BARIČEVIĆ;;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ
OPĆINSKI NAČELNIK;ZADARSKA ŽUPANIJA;JASENICE;STIPE VULIĆ;;STIPE VULIĆ - KANDIDAT GRUPE BIRAČA
OPĆINSKI NAČELNIK;ZADARSKA ŽUPANIJA;KALI;MARKO KOLEGA;;HDZ, HSP, REFORMISTI, HNS
OPĆINSKI NAČELNIK;ZADARSKA ŽUPANIJA;KALI;BRUNO MIŠLOV;;BRUNO MIŠLOV - KANDIDAT GRUPE BIRAČA
OPĆINSKI NAČELNIK;ZADARSKA ŽUPANIJA;KALI;DUŠKO VIDOV;;SDP, HSS, HSLS
OPĆINSKI NAČELNIK;ZADARSKA ŽUPANIJA;LIŠANE OSTROVIČKE;ZVONIMIR MIJIĆ;;ZVONIMIR MIJIĆ - KANDIDAT GRUPE BIRAČA
OPĆINSKI NAČELNIK;ZADARSKA ŽUPANIJA;LIŠANE OSTROVIČKE;IVICA MUSIĆ;;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ
GRADONAČELNIK;ZADARSKA ŽUPANIJA;NIN;EMIL ĆURKO;;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ
GRADONAČELNIK;ZADARSKA ŽUPANIJA;OBROVAC;MARKO KLANAC;;HSLS, MOST
GRADONAČELNIK;ZADARSKA ŽUPANIJA;OBROVAC;ANTE ŽUPAN;;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ
GRADONAČELNIK;ZADARSKA ŽUPANIJA;PAG;ANTE FABIJANIĆ;;HDZ, MODES, REFORMISTI
GRADONAČELNIK;ZADARSKA ŽUPANIJA;PAG;DARIO GRAŠO;;DARIO GRAŠO - KANDIDAT GRUPE BIRAČA
GRADONAČELNIK;ZADARSKA ŽUPANIJA;PAG;TONI HERENDA;;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP
OPĆINSKI NAČELNIK;ZADARSKA ŽUPANIJA;PAKOŠTANE;MILIVOJ KURTOV;;HDZ, HSP, HSS, HSP AS
OPĆINSKI NAČELNIK;ZADARSKA ŽUPANIJA;PAKOŠTANE;ERIDEN LIVIĆ;;HNS, SDP, AM, SU
OPĆINSKI NAČELNIK;ZADARSKA ŽUPANIJA;PAKOŠTANE;ANTONIO LOKIN;;MOST
OPĆINSKI NAČELNIK;ZADARSKA ŽUPANIJA;PAŠMAN;KREŠIMIR ĆOSIĆ;;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ
OPĆINSKI NAČELNIK;ZADARSKA ŽUPANIJA;PAŠMAN;ANDREA TUDOROVIĆ;;ANDREA TUDOROVIĆ - KANDIDATKINJA GRUPE BIRAČA
OPĆINSKI NAČELNIK;ZADARSKA ŽUPANIJA;POLAČA;TOMISLAV PRTENJAČA;;TOMISLAV PRTENJAČA - KANDIDAT GRUPE BIRAČA
OPĆINSKI NAČELNIK;ZADARSKA ŽUPANIJA;POLAČA;VIKTOR PRTENJAČA;;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ
OPĆINSKI NAČELNIK;ZADARSKA ŽUPANIJA;POLIČNIK;DAVOR LONČAR;;HDZ, HSP
OPĆINSKI NAČELNIK;ZADARSKA ŽUPANIJA;POLIČNIK;IVICA UKALOVIĆ;;IVICA UKALOVIĆ - KANDIDAT GRUPE BIRAČA
OPĆINSKI NAČELNIK;ZADARSKA ŽUPANIJA;POSEDARJE;ŠIME BOLIĆ;;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ
OPĆINSKI NAČELNIK;ZADARSKA ŽUPANIJA;POSEDARJE;IVICA KLANAC;;IVICA KLANAC - KANDIDAT GRUPE BIRAČA
OPĆINSKI NAČELNIK;ZADARSKA ŽUPANIJA;PREKO;JURE BRIŽIĆ;;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ
OPĆINSKI NAČELNIK;ZADARSKA ŽUPANIJA;PREKO;MIHOVIL VALČIĆ;;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP
OPĆINSKI NAČELNIK;ZADARSKA ŽUPANIJA;RAŽANAC;DAMIR JORDAN;;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ
OPĆINSKI NAČELNIK;ZADARSKA ŽUPANIJA;RAŽANAC;NIKOLA MILETIĆ;;NIKOLA MILETIĆ - KANDIDAT GRUPE BIRAČA
OPĆINSKI NAČELNIK;ZADARSKA ŽUPANIJA;SALI;PAŠKO BONJA;;PAŠKO BONJA - KANDIDAT GRUPE BIRAČA
OPĆINSKI NAČELNIK;ZADARSKA ŽUPANIJA;SALI;ZORAN MOROVIĆ;;HSS, SDP, HNS
OPĆINSKI NAČELNIK;ZADARSKA ŽUPANIJA;STANKOVCI;MATIJA ČAČIĆ;;HDZ, SU, REFORMISTI, HNS
OPĆINSKI NAČELNIK;ZADARSKA ŽUPANIJA;STANKOVCI;ŽELJKO PERICA;;ŽELJKO PERICA - KANDIDAT GRUPE BIRAČA
OPĆINSKI NAČELNIK;ZADARSKA ŽUPANIJA;STANKOVCI;ZDENKO SARAĐEN;;ZDENKO SARAĐEN - KANDIDAT GRUPE BIRAČA
OPĆINSKI NAČELNIK;ZADARSKA ŽUPANIJA;STARIGRAD;VIŠESLAV DOKOZA;;VIŠESLAV DOKOZA - KANDIDAT GRUPE BIRAČA
OPĆINSKI NAČELNIK;ZADARSKA ŽUPANIJA;STARIGRAD;MAJA MILOVAC;;SDP, HSS
OPĆINSKI NAČELNIK;ZADARSKA ŽUPANIJA;STARIGRAD;KRSTE RAMIĆ;;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ
OPĆINSKI NAČELNIK;ZADARSKA ŽUPANIJA;SUKOŠAN;ANTE MARTINAC;;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ
OPĆINSKI NAČELNIK;ZADARSKA ŽUPANIJA;SUKOŠAN;ANTE MARTINOVIĆ;;ANTE MARTINOVIĆ - KANDIDAT GRUPE BIRAČA
OPĆINSKI NAČELNIK;ZADARSKA ŽUPANIJA;SUKOŠAN;DARKO SMOLIĆ-ROČAK;;HRVATSKA NARODNA STRANKA - LIBERALNI DEMOKRATI - HNS
OPĆINSKI NAČELNIK;ZADARSKA ŽUPANIJA;SUKOŠAN;IRENA ŠEREMET;;SDP, AM, HSS, CENTAR
OPĆINSKI NAČELNIK;ZADARSKA ŽUPANIJA;SVETI FILIP I JAKOV;ZORAN PELICARIĆ;;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ
OPĆINSKI NAČELNIK;ZADARSKA ŽUPANIJA;ŠKABRNJA;NEDILJKO BUBNJAR;;HDZ, HSP
OPĆINSKI NAČELNIK;ZADARSKA ŽUPANIJA;ŠKABRNJA;IVAN ŠKARA;;IVAN ŠKARA - KANDIDAT GRUPE BIRAČA
OPĆINSKI NAČELNIK;ZADARSKA ŽUPANIJA;VIR;JOSIP BAŠIĆ;;DOMOVINSKI POKRET - DP
OPĆINSKI NAČELNIK;ZADARSKA ŽUPANIJA;VIR;MARINO RADOVIĆ;;MARINO RADOVIĆ - KANDIDAT GRUPE BIRAČA
OPĆINSKI NAČELNIK;ZADARSKA ŽUPANIJA;VIR;FRANE VUČETIĆ;;FRANE VUČETIĆ - KANDIDAT GRUPE BIRAČA
OPĆINSKI NAČELNIK;ZADARSKA ŽUPANIJA;VIR;ŠIME VUČETIĆ;;SDP, AM, CENTAR
OPĆINSKI NAČELNIK;ZADARSKA ŽUPANIJA;VIR;VESELA VUČETIĆ;;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ
GRADONAČELNIK;ZADARSKA ŽUPANIJA;ZADAR;DAMIR BILOGLAV;;DOMOVINSKI POKRET - DP
GRADONAČELNIK;ZADARSKA ŽUPANIJA;ZADAR;BRANKO DUKIĆ;;HDZ, HSP, SU, REFORMISTI
GRADONAČELNIK;ZADARSKA ŽUPANIJA;ZADAR;ENIO MEŠTROVIĆ;;ENIO MEŠTROVIĆ - KANDIDAT GRUPE BIRAČA
GRADONAČELNIK;ZADARSKA ŽUPANIJA;ZADAR;MARIO SKELIN;;DSU, HNS, HSLS
GRADONAČELNIK;ZADARSKA ŽUPANIJA;ZADAR;RADE ŠKARICA;;MOST
GRADONAČELNIK;ZADARSKA ŽUPANIJA;ZADAR;MARKO VUČETIĆ;;SDP, AM, HSS, GLAS, CENTAR
OPĆINSKI NAČELNIK;ZADARSKA ŽUPANIJA;ZEMUNIK DONJI;IVICA ŠARIĆ;;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ
OPĆINSKI NAČELNIK;ZADARSKA ŽUPANIJA;NOVIGRAD;JOSO KLAPAN;;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ
OPĆINSKI NAČELNIK;ZADARSKA ŽUPANIJA;NOVIGRAD;STOJAN VIDUKA;;HRVATSKA NARODNA STRANKA - LIBERALNI DEMOKRATI - HNS
OPĆINSKI NAČELNIK;ZADARSKA ŽUPANIJA;GALOVAC;MARIN GULAN;;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ
OPĆINSKI NAČELNIK;ZADARSKA ŽUPANIJA;GALOVAC;SLAVKO ŠARE;;SLAVKO ŠARE - KANDIDAT GRUPE BIRAČA
OPĆINSKI NAČELNIK;ZADARSKA ŽUPANIJA;KUKLJICA;MARIN BOŠKO;;MARIN BOŠKO - KANDIDAT GRUPE BIRAČA
OPĆINSKI NAČELNIK;ZADARSKA ŽUPANIJA;KUKLJICA;RAJNA GRZUNOV;;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ
OPĆINSKI NAČELNIK;ZADARSKA ŽUPANIJA;KUKLJICA;ANTE MARTINOVIĆ;;AM, SDP, HSS, CENTAR
OPĆINSKI NAČELNIK;ZADARSKA ŽUPANIJA;POVLJANA;ŠIME JURIŠIĆ;;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ
OPĆINSKI NAČELNIK;ZADARSKA ŽUPANIJA;POVLJANA;PREDRAG RUKAVINA;;PREDRAG RUKAVINA - KANDIDAT GRUPE BIRAČA
OPĆINSKI NAČELNIK;ZADARSKA ŽUPANIJA;PRIVLAKA;GAŠPAR BEGONJA;;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ
OPĆINSKI NAČELNIK;ZADARSKA ŽUPANIJA;PRIVLAKA;IVE BEGONJA;;MOST
OPĆINSKI NAČELNIK;ZADARSKA ŽUPANIJA;TKON;BORIS KATIČIN;;BORIS KATIČIN - KANDIDAT GRUPE BIRAČA
OPĆINSKI NAČELNIK;ZADARSKA ŽUPANIJA;TKON;ANĐELO PALAŠKOV;;ANĐELO PALAŠKOV - KANDIDAT GRUPE BIRAČA
OPĆINSKI NAČELNIK;ZADARSKA ŽUPANIJA;KOLAN;ŠIME GLIGORA;;HSP, MOST, SU
OPĆINSKI NAČELNIK;ZADARSKA ŽUPANIJA;KOLAN;MARIN PERNJAK;;HDZ, DHSS
