Vrsta izbora;Naziv županije;Naziv grada/općine;Ime i prezime kandidata;Razlikovni podatak;Naziv predlagatelja
ZAMJENIK OPĆINSKOG NAČELNIKA - MAĐARSKA MANJINA;OSJEČKO-BARANJSKA ŽUPANIJA;BILJE;GABOR VARGA;;GABOR VARGA - KANDIDAT GRUPE BIRAČA
ZAMJENIK OPĆINSKOG NAČELNIKA - SRPSKA MANJINA;OSJEČKO-BARANJSKA ŽUPANIJA;DARDA;RADOVAN GOTOVAC;;SAMOSTALNA DEMOKRATSKA SRPSKA STRANKA - SDSS
ZAMJENIK OPĆINSKOG NAČELNIKA - SRPSKA MANJINA;OSJEČKO-BARANJSKA ŽUPANIJA;DARDA;GORAN KUSIĆ;;DEMOKRATSKI SAVEZ SRBA - DSS
ZAMJENIK OPĆINSKOG NAČELNIKA - SRPSKA MANJINA;OSJEČKO-BARANJSKA ŽUPANIJA;DARDA;PETAR MARIJANAC;;PETAR MARIJANAC - KANDIDAT GRUPE BIRAČA
ZAMJENIK OPĆINSKOG NAČELNIKA - MAĐARSKA MANJINA;OSJEČKO-BARANJSKA ŽUPANIJA;DRAŽ;ŠANDOR ŠIPOŠ;;ŠANDOR ŠIPOŠ - KANDIDAT GRUPE BIRAČA
ZAMJENIK OPĆINSKOG NAČELNIKA - PREDSTAVNIK HRVATSKOGA NARODA;OSJEČKO-BARANJSKA ŽUPANIJA;ERDUT;DAVID SUŠAC;;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ
ZAMJENIK OPĆINSKOG NAČELNIKA - MAĐARSKA MANJINA;OSJEČKO-BARANJSKA ŽUPANIJA;ERNESTINOVO;DEŽE KELEMEN;;DEŽE KELEMEN - KANDIDAT GRUPE BIRAČA
ZAMJENIK OPĆINSKOG NAČELNIKA - PREDSTAVNIK HRVATSKOGA NARODA;OSJEČKO-BARANJSKA ŽUPANIJA;KNEŽEVI VINOGRADI;RUŽICA BATORI;;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ
ZAMJENIK OPĆINSKOG NAČELNIKA - PREDSTAVNIK HRVATSKOGA NARODA;OSJEČKO-BARANJSKA ŽUPANIJA;KNEŽEVI VINOGRADI;IVO CRNJAC;;IVO CRNJAC - KANDIDAT GRUPE BIRAČA
ZAMJENIK OPĆINSKOG NAČELNIKA - SRPSKA MANJINA;OSJEČKO-BARANJSKA ŽUPANIJA;PODGORAČ;LJILJANA GRBIĆ;;LJILJANA GRBIĆ - KANDIDATKINJA GRUPE BIRAČA
ZAMJENIK OPĆINSKOG NAČELNIKA - SRPSKA MANJINA;OSJEČKO-BARANJSKA ŽUPANIJA;POPOVAC;ZORAN MILOŠEVIĆ;;SAMOSTALNA DEMOKRATSKA SRPSKA STRANKA - SDSS
ZAMJENIK OPĆINSKOG NAČELNIKA - SLOVAČKA MANJINA;OSJEČKO-BARANJSKA ŽUPANIJA;PUNITOVCI;ŽELJKA FLORIJANČIĆ;;ŽELJKA FLORIJANČIĆ - KANDIDATKINJA GRUPE BIRAČA
ZAMJENIK OPĆINSKOG NAČELNIKA - SRPSKA MANJINA;OSJEČKO-BARANJSKA ŽUPANIJA;VILJEVO;DALIBOR DAKIĆ;;DALIBOR DAKIĆ - KANDIDAT GRUPE BIRAČA
